species,url,name,subname,description
arabica,https://varieties.worldcoffeeresearch.org/varieties/sl14,SL14,"",A high-yielding tall variety with drought and cold tolerance. Found mostly in Kenya and Uganda.
arabica,https://varieties.worldcoffeeresearch.org/varieties/sl28,SL28,"","Drought tolerant and very good cup quality potential, but susceptible to major diseases. Found commonly in Kenya, Malawi, Uganda, Zimbabwe."
arabica,https://varieties.worldcoffeeresearch.org/varieties/sl34,SL34,"",Exceptional cup quality but highly susceptible to coffee berry disease. Found mostly in Kenya.
arabica,https://varieties.worldcoffeeresearch.org/varieties/starmaya,Starmaya,"",High yielding plant adapted to medium altitudes. Notably high acidity in the cup. The first coffee F1 hybrid propagated by seed.
arabica,https://varieties.worldcoffeeresearch.org/varieties/t5175,T5175,Catimor,High-yielding plant adapted to lowest altitudes. Requires high fertilization. Variety not uniform.
arabica,https://varieties.worldcoffeeresearch.org/varieties/t5296,T5296,Sarchimor,Well-adapted to medium altitudes. Variety not uniform.
arabica,https://varieties.worldcoffeeresearch.org/varieties/t8667,T8667,Catimor,"High-yielding variety, resistant to rust, and adapted to warmest zones and acidic soils."
arabica,https://varieties.worldcoffeeresearch.org/varieties/tekisic,Tekisic,Improved Bourbon,"A variety selected in El Salvador, and known for very good cup quality in the highest altitudes."
arabica,https://varieties.worldcoffeeresearch.org/varieties/typica,Typica,"","One of the most culturally and genetically important C. arabica coffees in the world, with high quality in Central America. Very high susceptibility to coffee leaf rust, well-adapted to the coldest conditions."
arabica,https://varieties.worldcoffeeresearch.org/varieties/venecia,Venecia,"",Very high susceptibility to coffee leaf rust. Well-adapted to rainy zones due to late harvest during dry season.
arabica,https://varieties.worldcoffeeresearch.org/varieties/villa-sarchi,Villa Sarchi,"",Well-adpated to highest altitude conditions and tolerant of strong winds.
robusta,https://varieties.worldcoffeeresearch.org/varieties/bp-534,BP 534, ,Most commonly grown clone by farmers in Indonesia; suitable for cultivation under agroforestry systems.
robusta,https://varieties.worldcoffeeresearch.org/varieties/bp-936,BP 936, ,"Wide adaptability to different environments, with optimal productivity in areas with wet climates; suitable for cultivation under agroforestry systems."
robusta,https://varieties.worldcoffeeresearch.org/varieties/bp-939,BP 939, ,Wide adaptability to different environments that produces best in areas with dry climates; suitable for cultivation under agroforestry systems.
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-1216,BRS 1216,"",Adaptable to the environments of the Western Amazon with high productivity. Plant structure suitable for mechanized harvesting. Resistant to nematodes and coffee rust.
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-2299,BRS 2299,"",Plant structure suitable for mechanized harvesting. Stands out for its tolerance to the root-knot nematode _Meloidogyne sp_.
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-2314,BRS 2314,"",High cupping scores; has been classified as a 'fine robusta.'
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-2336,BRS 2336,"","Adaptable to the environments of the Western Amazon, with high productivity and bean size."
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-2357,BRS 2357,"","Compact canopy, which allows for densification. Short stems allow one additional harvest before renewal."
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-3137,BRS 3137,"","Recognized for its rusticity, presenting good vegetative and productive characteristics in dry conditions and low-fertility soils."
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-3193,BRS 3193,"","Long primary branches. Production peak in the second or third commercial harvest due to its initial growth, which reduces the biannual production of the crop by compensating for lower yields of other clones."
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-3210,BRS 3210,"",Good adaptability and stability in the environments of the Western Amazon. Good productivity and bean size.
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-3213,BRS 3213,"",Adaptable to the environments of the Western Amazon recognized for good productivity and bean size.
robusta,https://varieties.worldcoffeeresearch.org/varieties/brs-3220,BRS 3220,"","Adaptable to the environments of the Western Amazon, recognized for good productivity and bean size."
robusta,https://varieties.worldcoffeeresearch.org/varieties/inifap-00-24,INIFAP 00-24,Clon 24,Compact plant grown under the conditions of the Chiapas coast in Mexico. Reduced plant size lends itself to higher yields in dry conditions and differentiates it from any other clone.
robusta,https://varieties.worldcoffeeresearch.org/varieties/inifap-00-28,INIFAP 00-28,Clon 28,"Tall plants with large and numerous leaves and fruits; highest-yielding clone for the conditions of the coast of Chiapas, Mexico."
robusta,https://varieties.worldcoffeeresearch.org/varieties/inifap-95-9,INIFAP 95-9,Clon Romex 51,Tall plant with very large fruit. Susceptible to shoot hole borer.
robusta,https://varieties.worldcoffeeresearch.org/varieties/inifap-97-14,INIFAP 97-14,Clon 14,"Tall growth, tendency to form plants with more than three productive stems and good yield of cherries. Very susceptible to stem borers and anthracnose."
robusta,https://varieties.worldcoffeeresearch.org/varieties/inifap-97-15,INIFAP 97-15,Clon 15,"Tall growth, tendency to form plants with more than three productive stems. Good yield potential, wide range of adaptation to the climatic conditions of the coast of Chiapas and Veracruz, Mexico."
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-1,NARO-Kituza Robusta 1,KR1,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-10,NARO-Kituza Robusta 10,KR10,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-2,NARO-Kituza Robusta 2,KR2,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-3,NARO-Kituza Robusta 3,KR3,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-4,NARO-Kituza Robusta 4,KR4,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-5,NARO-Kituza Robusta 5,KR5,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-6,NARO-Kituza Robusta 6,KR6,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-7,NARO-Kituza Robusta 7,KR7,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-8,NARO-Kituza Robusta 8,KR8,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/kr-9,NARO-Kituza Robusta 9,KR9,Resistant to coffee wilt disease (CWD).
robusta,https://varieties.worldcoffeeresearch.org/varieties/perdenia,Perdenia,Old Robusta,"Vigorous, wide-spreading, grow into moderately large trees. High-yielding, beans relatively small in size."
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-1,Roubi 1,"",Combines excellent yield and cup quality. Very high acceptance among farmers.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-10,Roubi 10,"",High productivity and high cup quality.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-2,Roubi 2,"",Combines excellent yield and cup quality. Very high acceptance among farmers.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-3,Roubi 4,"",High productivity in combination with large bean size.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-4,Roubi 5,"",High produtivity in combination with large bean size.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-6,Roubi 6,"",High productivity and high cup quality.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-7,Roubi 7,"",Very good cup quality and high productivity.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-8,Roubi 8,"",High productivity and high cup quality.
robusta,https://varieties.worldcoffeeresearch.org/varieties/roubi-9,Roubi 9,"",High productivity and high cup quality.
robusta,https://varieties.worldcoffeeresearch.org/varieties/sa-237,SA 237,"",Suitable for cultivation under agroforestry systems in areas with dry climates.
robusta,https://varieties.worldcoffeeresearch.org/varieties/sln-1-r,Sln.1R,"S.274, CxR (Congensis x Robusta)",Plants that are very vigorous and grow into moderately large trees.
robusta,https://varieties.worldcoffeeresearch.org/varieties/sln-2-r,Sln.2R,"Balehonnur Robustas, CxR (Congensis x Robusta)",Plants that are very vigorous and grow into moderately large trees and produce large beans.
robusta,https://varieties.worldcoffeeresearch.org/varieties/sln-3-r,Sln.3R,CxR (Congensis x Robusta),"Compact plant stature with good yielding potential, suitable for high-density planting."
robusta,https://varieties.worldcoffeeresearch.org/varieties/tr11,TR11,"",Very high yield and quality. Strong growth.
robusta,https://varieties.worldcoffeeresearch.org/varieties/tr4,TR4,"",High yield and wide adaptation to different environments.
robusta,https://varieties.worldcoffeeresearch.org/varieties/tr9,TR9,"","Very high yield and cup quality, large bean size."
robusta,https://varieties.worldcoffeeresearch.org/varieties/trs1,TRS1,"",Wide adaptation to different environments; average input requirements.
robusta,https://varieties.worldcoffeeresearch.org/varieties/xanh-lun,Xanh lun,TS5,"Compact, very high yield. High-quality, relative drought tolerance, late to ripen."
